"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\dynamic-modals\title-modal.vue", "vue", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\dynamic-modals\triangle-modal.vue", "vue", 0, 0, 0, 0, 45, 0, 0, 0, 3, 48
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\filter-modals-cmps\filter-person-modal.vue", "vue", 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\filter-modals-cmps\new-item-modal.vue", "vue", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\group-list.vue", "vue", 0, 0, 0, 0, 112, 0, 0, 0, 7, 119
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\group-preview.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 1, 10, 158
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\img-list.cmp.vue", "vue", 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\option-cmps\task-opt-modal.vue", "vue", 0, 0, 0, 0, 39, 0, 0, 63, 4, 106
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\regular-modal-cmps\color-picker-modal.vue", "vue", 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\regular-modal-cmps\group-opt-modal.vue", "vue", 0, 0, 0, 0, 75, 0, 0, 12, 6, 93
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\regular-modal-cmps\task-select-modal.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\date.vue", "vue", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\labels.vue", "vue", 0, 0, 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\link.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 1, 2, 35
